,Unnamed: 0,bed,bathroom,location,year_built,heating,air_conditioner,basement,security,construction,Floor,fireplace,Roof,Parking,Property_type,zipcode,area,county,salary,price
1558,1559,1.0,1.0,"DENVER, CO 80221",2020.0,"Forcedair, Naturalgas",Centralair,,,,,,,1.0,Residential,80221,776 SqFt.,Adams,39522.0,"$406,900"
3460,3474,2 Beds,2 Baths,,2008,Forced Air,Central Air,,,,,"Living Room, Single Fireplace",,2 spaces,Townhouse,80202,"1,780 SqFt",Denver,31295.0,"$1,270,000"
4716,4775,2 bed,0 bath,,1890.0,"Forced Air,NaturalGas",,,,,"Tile,Wood",,Composition,,Single Family Residence,80205,$567 / sq ft,Denver,28545.0,"$525,000"
4173,4219,3 bed,2 bath,,1959.0,Forced Air,Central Air,,,,"Laminate,Wood",,Composition,1.0,Single Family Residence,80226,$373 / sq ft,Jefferson,45012.0,"$479,000"
422,423,1-3 Beds,1-2 Baths,"Lakewood, CO 80235",,"Heating: Electric, Gas",,,,,,,,,Property Type: Apartment,80235,,Jefferson,46568.0,"$1,470 - $2,599/mo"
95,95,Studio-1 Bed,1 Bath,"Denver, CO 80211",Year Built: 2016,,,,,,,,,,Property Type: Apartment,80211,,Denver,35753.0,"$1,388 - $1,498/mo"
2465,2466,"4
Beds","3
Baths","2451 S Ivanhoe Place, Denver, CO 80222","This home is located at 2451 S Ivanhoe Place Denver, Co 80222 Us and has been listed on Homes.com since 18 January 2022 and is currently priced at $865,000, approximately $255 per square foot. This property was built in 1957. 2451 S Ivanhoe Place is within the school district(s) Cherry Creek Schools with nearby schools including Holly Hills Elementary School, West Middle School, and Cherry Creek High School. Similar properties nearby are 5325 E Atlantic Pl, 5305 E Iowa Ave, 421 S Leyden St, 1746 S Elm St, 3102 S Leyden St, 1644 S Hudson St, 8741 E Layton Ave, 1810 S Clayton St, 1895 S Linden Way, and 8385 E Princeton Ave.",Heating Details: Hot Water,Cooling Details: Evaporative Cooling,,,Construction Materials: Brick,,,Roof: Composition,Garage: 2 0,Building Features: House,80222,"3,388
Sq. Ft.",Denver,41932.0,"$865,000"
1485,1486,4.0,2.0,"DENVER, CO 80212",1949.0,"Forcedair, Naturalgas",Evaporativecooling,,,,"Carpet, Laminate, Wood",,,2.0,Residential,80212,"1,968 SqFt.",Denver,37366.0,"$895,000"
3924,3963,1 bed,1 bath,,2020.0,"Electric,Forced Air,Heat Pump",Central Air,,,,"Carpet,Wood",,Membrane,1.0,Condominium,80204,$627 / sq ft,Denver,28247.0,"$579,000"
2426,2427,2.0,3.0,"DENVER, CO 80211",2021.0,Naturalgas,Centralair,,,,"Carpet, Laminate, Tile",,,1.0,Residential,80211,"1,392 SqFt.",Denver,35753.0,"$660,000"
2226,2227,1.0,2.0,"DENVER, CO 80204",2017.0,Warm Air,,,,,,,,,Condominium (residential),80204,867 SqFt.,Denver,28247.0,
4677,4736,3 bed,1 bath,,1909.0,"Forced Air,NaturalGas",Central Air,,,,"Carpet,Concrete,Wood",,,2.0,Condominium,80202,$836 / sq ft,Denver,31295.0,"$2,695,000"
80,80,2 Beds,2 Baths,"Denver, CO 80209",Year Built: 1924,,,,,,,,,,Property Type: Apartment,80209,,Denver,57519.0,"$5,000/mo"
803,804,4.0,2.0,"DENVER, CO 80210",1918.0,Forcedair,Centralair,,,,"Tile, Wood",,,1.0,Residential,80210,"1,584 SqFt.",Denver,49953.0,"$565,000"
3760,3796,4 bed,3 bath,,2005.0,Forced Air,"Ceiling Fan(s),Central Air",,,,,,Fiberglass,2.0,,80209,$403 / sq ft,Denver,57519.0,"$1,200,000"
1832,1833,2.0,2.0,"DENVER, CO 80204",1982.0,Warm Air,,,,,,,,,Condominium (residential),80204,919 SqFt.,Denver,28247.0,
3441,3455,2 Beds,3 Baths,,1971,"Forced Air, Natural Gas",Central Air,,,,,"Gas Log, Great Room, Master Bedroom",,2 spaces,Condominium,80206,"2,596 SqFt",Denver,40879.0,"$1,349,500"
2406,2407,1.0,1.0,"DENVER, CO 80205",2021.0,"Forcedair, Hotwater",Centralair,,,,Vinyl,,,1.0,Residential,80205,516 SqFt.,Denver,28545.0,"$343,500"
3139,3143,3,3,"Denver, CO 80221",1940.0,,,,,,,,,,Single Family Residential,80221,"2,171",Adams,39522.0,"$549,900"
4581,4636,3 bed,2 bath,,1981.0,"Forced Air,NaturalGas",Central Air,,,,"Carpet,Vinyl,Wood",,Composition,2.0,Single Family Residence,80123,$255 / sq ft,Jefferson,63482.0,"$550,000"
1044,1045,4.0,3.0,"DENVER, CO 80222",1958.0,"Forcedair, Naturalgas",Centralair,,,,"Carpet, Tile, Wood",,,1.0,Residential,80222,"2,396 SqFt.",Denver,41932.0,"$799,000"
4633,4690,1 bed,1 bath,,1955.0,Forced Air,,,,,,,"Architectural,Shingle",,Single Family Residence,80216,$658 / sq ft,Denver,30735.0,"$299,999"
3206,3216,2 Beds,1 Bath,,1890,Forced Air,,,,,,,,1 space,Multi Family,80211,927 SqFt,Denver,35753.0,"$495,000"
152,152,1-2 Beds,1 Bath,"Lakewood, CO 80214",Year Built: 1986,Heating: Forced Air,,,,,,,,,Property Type: Apartment,80214,,Jefferson,35134.0,"$1,440 - $1,973/mo"
1629,1630,4.0,2.0,"DENVER, CO 80221",1969.0,Forced Air,Ac.central,,,,,,,,Single Family Residence / Townhouse,80221,"1,736 SqFt.",Adams,39522.0,
2509,2510,"2
Beds","1
Bath","175 S Quitman Street, Denver, CO 80219","This home is located at 175 S Quitman Street Denver, Co 80219 Us and has been listed on Homes.com since 14 January 2022 and is currently priced at $399,000, approximately $518 per square foot. This property was built in 1927. 175 S Quitman Street is within the school district(s) Denver Public Schools with nearby schools including Knapp Elementary School, Kepner Beacon Middle School, and West Leadership Academy. Similar properties nearby are 1590 S Zuni St, 175 S Quitman St, 1975 N Grant St 321, 4812 W 13th Ave, 1892 S Patton Ct, 1594 W Alameda Ave, 1023 Stuart St, 214 E Maple Ave, and 1328 S Xavier St.",Heating Details: Forced Air,,Basement: Yes,,Construction Materials: Frame,,,Roof: Architectural Shingles,Garage: 0 0,Building Features: House,80219,"771
Sq. Ft.",Denver,36565.0,"$399,000"
1941,1942,2.0,1.0,"DENVER, CO 80219",1958.0,Warm Air,,,,,,,,,Single Family Residence / Townhouse,80219,"1,312 SqFt.",Denver,36565.0,
4358,4406,1 bed,1 bath,,2020.0,"Electric,Forced Air,Heat Pump",Central Air,,,,Wood,,Membrane,1.0,Condominium,80204,$615 / sq ft,Denver,28247.0,"$645,000"
4664,4723,3 bed,2 bath,,1946.0,Forced Air,,,,,,,Composition,1.0,Single Family Residence,80210,$407 / sq ft,Denver,49953.0,"$650,000"
3654,3689,2 bed,1 bath,,1985.0,Forced Air,Central Air,,,,,,Composition,1.0,,80231,$182 / sq ft,Denver,40908.0,"$354,900"
1438,1439,2.0,4.0,"DENVER, CO 80204",2021.0,Forcedair,Centralair,,,,"Tile, Wood",,,1.0,Residential,80204,"1,016 SqFt.",Denver,28247.0,"$595,000"
2697,2698,"1
Bed","1
Bath","1180 Yosemite Street #202, Denver, CO 80220","This home is located at 1180 Yosemite Street #202 Denver, Co 80220 Us and has been listed on Homes.com since 3 November 2021 and is currently priced at $144,000, approximately $248 per square foot. This property was built in 1961. 1180 Yosemite Street #202 is within the school district(s) Aurora Public Schools with nearby schools including Boston P-8 School and Aurora Central High School. Similar properties nearby are 12245 E 14th Ave 210, 1306 S Parker Rd 380, 1304 S Parker Rd 346, 1541 Clinton St, 1302 S Parker Rd 134, 1304 S Parker Rd Ph16, 675 S Clinton St 11a, 1180 Yosemite St 202, 10732 E Exposition Ave 121, and 10772 E Exposition Ave 142.",Heating Details: Forced Air,Cooling Details: Other,,,Construction Materials: Brick,Flooring: Laminate,,Roof: Other,Garage: 0 0,Building Features: Low Rise 1 3,80220,"581
Sq. Ft.",Denver,44475.0,"$144,000"
2574,2575,"2
Beds","2
Baths","1610 Vrain Street, Denver, CO 80204","This home is located at 1610 Vrain Street Denver, Co 80204 Us and has been listed on Homes.com since 30 December 2021 and is currently priced at $869,000, approximately $401 per square foot. This property was built in 1959. 1610 Vrain Street is within the school district(s) Denver Public Schools with nearby schools including Colfax Elementary School, Strive Prep - Lake, and North High School. Similar properties nearby are 4200 W 17th Ave 610, 4200 W 17th Ave 323, 2322 Decatur St 2, 1750 Wewatta St 1231, 1127 Auraria Pkwy 503, 1610 Vrain St, 3900 Vallejo St, 1700 Bassett St 901, 1127 Auraria Pkwy 404, and 1863 Wazee St 2c.",Heating Details: Forced Air,Cooling Details: Central Air,Basement: Yes,,Construction Materials: Brick,"Flooring: Carpet, Tile, Wood",,Roof: Composition,Garage: 3 0,Building Features: House,80204,"2,165
Sq. Ft.",Denver,28247.0,"$869,000"
2836,2837,"3
Beds","3
Baths","Celeste at The Horizon Collection at Altaira at High Point in Denver, CO 80249","This home is located in Denver, Co 80249 Us and has been listed on Homes.com since 21 May 2020 and is currently priced at $449,500, approximately $280 per square foot. Similar properties nearby are 19990 E 40th Ave 3, 4970 Halifax Way, 4204 Andes St, and 19312 E 58th Pl.",,,,,,,,,,,80249,"1,608
Sq. Ft.",Denver,63343.0,"$449,500+"
4695,4754,2 bed,1 bath,,1973.0,"Floor Furnace,NaturalGas",Central Air,,,,"Carpet,Tile",,Composition,,Condominium,80224,$249 / sq ft,Denver,45504.0,"$215,000"
4797,4861,2 bed,1 bath,,1906.0,Forced Air,,,,,"Carpet,Laminate",,Composition,,Single Family Residence,80221,$588 / sq ft,Adams,39522.0,"$394,000"
2906,2907,3,2,"Denver, CO 80219",1935.0,,,,,,,,,,Single Family Residential,80219,"1,628",Denver,36565.0,"$480,000"
1533,1534,4.0,2.0,"DENVER, CO 80221",1954.0,Forcedair,Centralair,,,,"Carpet, Tile, Wood",,,1.0,Residential,80221,"1,950 SqFt.",Adams,39522.0,"$439,900"
31,31,3 Beds,3 Baths,"Denver, CO 80238",Year Built: 2009,Heating: Forced Air,"Air Conditioning: Air Conditioning-Room,Central Air",Basement: Crawl Space,,Construction Materials: Frame,"Flooring: Carpet, Tile, Wood",Number of Fireplaces: 1,Roof: Composition,Parking Spaces: 2,Property Type: Residential,80238,,Denver,39381.53220255654,"$525,000"
937,938,2.0,1.0,"DENVER, CO 80207",1956.0,"Activesolar, Forcedair",Centralair,,,,"Laminate, Tile",,,2.0,Residential Income,80207,732 SqFt.,Denver,41722.0,"$375,000"
